url,base_domain,top_level_domain,branch,agency,bureau,source_list_federal_domains,source_list_dap,source_list_pulse,source_list_omb_idea,source_list_eotw,source_list_usagov,source_list_gov_man,source_list_uscourts,source_list_oira,source_list_other,source_list_mil_1,source_list_mil_2,omb_idea_public
https://www.stopbullying.gov/blog/2019/09/09/mentoring-great-way-prevent-bullying,stopbullying.gov,.gov,Executive,Department of Health and Human Services,Office of the Secretary,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
https://www.stopbullying.gov/blog/tags/teachers,stopbullying.gov,.gov,Executive,Department of Health and Human Services,Office of the Secretary,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
https://www.stopbullying.gov/blog/2016/11/29/new-ojjdp-resource-helps-schools-implement-evidence-based-bullying-prevention-programs,stopbullying.gov,.gov,Executive,Department of Health and Human Services,Office of the Secretary,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
https://www.stopbullying.gov/resources/media-guidelines/about,stopbullying.gov,.gov,Executive,Department of Health and Human Services,Office of the Secretary,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
https://www.stopbullying.gov/blog/2012/09/04/no-bull-guys-taking-a-stand-against-bullying,stopbullying.gov,.gov,Executive,Department of Health and Human Services,Office of the Secretary,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
https://www.stopbullying.gov/resources/laws/federal,stopbullying.gov,.gov,Executive,Department of Health and Human Services,Office of the Secretary,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
https://www.stopbullying.gov/resources/laws/utah,stopbullying.gov,.gov,Executive,Department of Health and Human Services,Office of the Secretary,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
https://www.stopbullying.gov/resources/laws/new-jersey,stopbullying.gov,.gov,Executive,Department of Health and Human Services,Office of the Secretary,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
https://www.stopbullying.gov/blog/tags/youth-disabilities,stopbullying.gov,.gov,Executive,Department of Health and Human Services,Office of the Secretary,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
https://www.stopbullying.gov/blog/2012/12/28/podcast-talking-about-bullying,stopbullying.gov,.gov,Executive,Department of Health and Human Services,Office of the Secretary,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
https://www.stopbullying.gov/kids/kid-videos/cast-josh,stopbullying.gov,.gov,Executive,Department of Health and Human Services,Office of the Secretary,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
https://www.stopbullying.gov/bullying/warning-signs,stopbullying.gov,.gov,Executive,Department of Health and Human Services,Office of the Secretary,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
https://www.stopbullying.gov/blog/categories/warning-signs,stopbullying.gov,.gov,Executive,Department of Health and Human Services,Office of the Secretary,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
https://www.stopbullying.gov/blog/2020/03/25/social-emotional-learning-helps-prevent-bullying,stopbullying.gov,.gov,Executive,Department of Health and Human Services,Office of the Secretary,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
https://www.stopbullying.gov/blog/2014/03/19/teen-takes-personal-experiences-and-turns-them-visual-bullying-prevention-campaign,stopbullying.gov,.gov,Executive,Department of Health and Human Services,Office of the Secretary,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
